release,addedLOC,deletedLOC,churnLOC,entropy,changeAge,changedFiles,contributors,developerExp,maxPreviousBug,maxPreviousCrossLangBug,crossLang
0,2,1,3,0,0,1,6,720,0,0,False
0,9,6.5,15.5,1.13951800034707,0,2,1,655,0,0,False
0,4.61538461538462,3.92307692307692,8.53846153846154,4.64078752385273,168.384615384615,13,6.30769230769231,146,0,0,False
0,3,8,11,1.0557541576085,0,2,1.5,145,0,0,False
0,7.5,3,10.5,1.23135337533508,0,2,1,115,0,0,False
0,10.5,2.16666666666667,12.6666666666667,2.86099820820763,4.33333333333333,6,7.16666666666667,1023,0,0,False
0,194.9375,0.4375,195.375,5.82056721905341,-1.875,16,0.5625,114,0,0,False
0,2,1,3,0,0,1,6,113,0,0,False
0,3,1,4,1.04655470219574,-0.5,2,3.5,112,0,0,False
0,13.2,7.4,20.6,2.53445074920597,4.6,5,0.8,419,0,0,False
0,122.5,438,560.5,3.12694023997292,3,4,3.5,758,0,0,False
0,4,1,5,0,0,1,2,1022,0,0,False
0,2,2,4,0,0,1,1,418,0,0,False
0,7,1,8,0,7,1,2,1000,0,0,False
0,35,17,52,0,2,1,2,1021,0,0,False
0,17,0.6,17.6,4.28168296885765,192.2,5,1.4,417,0,0,False
0,0,7,7,2.89984203195652,12,5,5.8,757,0,0,False
0,8,11,19,0,1,1,44,111,0,0,False
0,5.5,0.5,6,1.42399845327748,53,2,2,998,0,0,False
0,3,5,8,0,0,1,3,110,0,0,False
0,4,4,8,0,6,1,4,756,0,0,False
0,1.66666666666667,18.6666666666667,20.3333333333333,1.67165223249891,0,3,6,1020,0,0,False
0,29.7692307692308,10.6153846153846,40.3846153846154,5.93291088142764,21.2307692307692,13,3.76923076923077,144,0,0,False
0,2,6,8,0,0,1,3,1969,0,0,False
0,10,0,10,0,0,1,1,1968,0,0,False
0,1,1,2,0,0,1,3,1967,0,0,False
0,11,10,21,0,0,1,3,1966,0,0,False
0,3,3,6,0,-1,1,3,1965,0,0,False
0,11.6666666666667,3.66666666666667,15.3333333333333,1.85175693859478,27.6666666666667,3,12.3333333333333,1019,0,0,False
0,2,2,4,0,0,1,1,999,0,0,False
0,15.2608695652174,3.8695652173913,19.1304347826087,5.78301956445327,31.0869565217391,23,2.56521739130435,113,0,0,False
0,4.57142857142857,0,4.57142857142857,3.49275045923097,-0.142857142857143,7,7.71428571428571,998,0,0,False
0,6.5,0.833333333333333,7.33333333333333,3.03672374935594,0,6,0.166666666666667,997,0,0,False
0,1.5,1,2.5,1.02944684452678,2.5,2,10.5,755,0,0,False
0,23.75,1.5,25.25,2.19298520691903,4.5,4,6,754,0,0,False
0,5,1.5,6.5,3.26342605876078,75.6666666666667,6,2.5,996,0,0,False
0,46.5227272727273,5.40909090909091,51.9318181818182,6.72530263311892,36.7272727272727,44,2.15909090909091,112,0,0,False
0,9,5.5,14.5,3.81046352963878,-0.375,8,12.75,3,0,0,False
0,0,3,3,0,0,1,44,997,0,0,False
0,1,3,4,0,-4,1,2,996,0,0,False
0,5,4.66666666666667,9.66666666666667,2.10867182397971,7.66666666666667,3,16.3333333333333,995,0,0,False
0,10.3333333333333,0.666666666666667,11,1.98858807074787,6,3,16.3333333333333,994,0,0,False
0,14.7142857142857,7.71428571428571,22.4285714285714,4.51843966785269,121.142857142857,7,3.42857142857143,416,0,0,False
0,4.5,0.5,5,1.32192809488736,360,2,4,1018,0,0,False
0,5,0,5,0,0,1,1,143,0,0,False
0,8.5,2.66666666666667,11.1666666666667,3.38756101813949,19.8333333333333,6,3,142,0,0,False
0,0,7.5,7.5,1.00321313457972,0,2,1,141,0,0,False
0,10,0,10,4.90689059560852,0,30,19,1964,0,0,False
0,0,7,7,0,0,1,2,1963,0,0,False
0,269,0,269,0,0,1,1,109,0,0,False
0,2,2,4,4.90689059560852,591.4,30,3.06666666666667,1962,0,0,False
0,60,60,120,0,0,1,7,1961,0,0,False
0,7,2,9,2.12619358081714,0,2,0.5,995,0,0,False
0,22,0,22,0,0,1,25,1,0,0,False
0,1,1,2,0,0,1,3,654,0,0,False
0,15.5,5,20.5,1.75282532180361,7,2,2.5,994,0,0,False
0,2,2,4,0,0,1,2,993,0,0,False
0,0,9,9,0,0,1,2,992,0,0,False
0,4,4,8,1,0,2,1.5,2,0,0,False
0,3,1,4,0,0,1,1,140,0,0,False
0,5,1,6,0,0,1,1,1017,0,0,False
0,6.5,0,6.5,1.11547721741994,0.5,2,2,1016,0,0,False
0,0.5,27.5,28,2.15091344441543,10.5,2,2.5,991,0,0,False
0,14.3333333333333,9,23.3333333333333,2.54265362253769,6.33333333333333,3,2,990,0,0,False
0,27,5,32,0,-15,1,2,989,0,0,False
0,48.3333333333333,14.5,62.8333333333333,4.34534495279268,83.8333333333333,6,3.16666666666667,988,0,0,False
0,3.06896551724138,0,3.06896551724138,4.86535832354986,58.1379310344828,29,31.8275862068965,753,0,0,False
0,108,0,108,0,0,1,18,752,0,0,False
0,2,2,4,0,0,1,1,1960,0,0,False
