From File,To File,References,From Entities,To Entities
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/arrow-cuda-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/arrow-cuda-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/arrow-cuda-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/arrow-cuda-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.h,7,1,7
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.h,2,1,2
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/input-stream.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/input-stream.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/output-stream.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-cuda-glib/cuda.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/output-stream.hpp,1,1,1
