,,,,,,,,,,,cJava
61a535179ea142718ca975dfc3e89df70dabf428,groovy,c++,java,,,,,,TRUE,TRUE,TRUE
cc582b21399d354f9c3585c92f962f860c9ad0bb,yaml,groovy,java,python,,,,,FALSE,TRUE,FALSE
50e684841f2b61d4363b444529a3e4507acb6287,c++,java,,,,,,,TRUE,TRUE,TRUE
7140d87e131c800f8832a0ad6b35e825f5e9383a,java,QT,,,,,,,FALSE,TRUE,FALSE
d153b6000977e5e36448e4faf1a5c602c461057f,java,c++,,,,,,,TRUE,TRUE,TRUE
f0e05d561147458e3a10b4806e24d0752dfd5d4b,java,c++,,,,,,,TRUE,TRUE,TRUE
b9463b2f74df42d85c73715a5f19e005dfb7b802,java,c++,,,,,,,TRUE,TRUE,TRUE
ebc029b7546f42dcb28e41de6083e236dc9d4d2d,yaml,groovy,java,,,,,,FALSE,TRUE,FALSE
08e7ef9cbcc7d2b52b0eb6d1391e2c44cb25f913,yaml,groovy,java,,,,,,FALSE,TRUE,FALSE
f27d038e3a142762abaa9155080c1d435fbb576b,yaml,java,python,groovy,,,,,FALSE,TRUE,FALSE
6fd769a8b768028dc1f28111192fe3456bc52260,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
bc9e9c3e3ffd9297d6266431208ccaff8acc0d02,groovy,java,,,,,,,FALSE,TRUE,FALSE
b23e9353ed4e3256379d660cb09491a69b21affb,java,c++,,,,,,,TRUE,TRUE,TRUE
50a13f92db5a8a95ffbeb2249d4d7037e2e3beb7,QT,java,,,,,,,FALSE,TRUE,FALSE
aaccb4785a459ebb533503299b9b35fb21d5f705,groovy,java,,,,,,,FALSE,TRUE,FALSE
268e9482887b8c031ee47b3b8cf1b950c9be7b2d,groovy,java,html,,,,,,FALSE,TRUE,FALSE
ad3812dd6858baf7a2e1d6ccbdccf4cb3692277d,java,groovy,,,,,,,FALSE,TRUE,FALSE
f998b647db185031273998cc91735b93c289932c,groovy,java,,,,,,,FALSE,TRUE,FALSE
4e473d9a9eae102902052309f4643698cff7bfea,groovy,java,,,,,,,FALSE,TRUE,FALSE
0c6f7671f35af188bcfd7cf84f9c46f72a25ccff,groovy,java,,,,,,,FALSE,TRUE,FALSE
7ec6fc77bbf547ae018178262453f38ff3b45974,groovy,c/c++,java,,,,,,TRUE,TRUE,TRUE
6c291c5b40bc4ae7b23bc332a512133217746fd2,groovy,java,QT,,,,,,FALSE,TRUE,FALSE
26e28ebd2f7dfe27dd4936e78e07f7108382c22f,QT,java,c++,groovy,,,,,TRUE,TRUE,TRUE
860d2707ce126ef8f66e3eac7ceeab6d24218cd8,java,c++,,,,,,,TRUE,TRUE,TRUE
abccde25cf0bad45ee3d0a98c55f266d85624920,c++,java,,,,,,,TRUE,TRUE,TRUE
f45afe920d357b7ebb298cf29fda904d70c24a2a,java,c++,,,,,,,TRUE,TRUE,TRUE
6ab37b0abd449ee2a6c20bcf08654fb3b2203de7,c++,java,,,,,,,TRUE,TRUE,TRUE
f1d4a1d3f95a4905fff34490c364abe5e25401df,c++,java,,,,,,,TRUE,TRUE,TRUE
cd7a158c79e938d71584008964d05b2eb281d498,java,groovy,c++,,,,,,TRUE,TRUE,TRUE
d0dad4fbc3415c8c4c1b1a0c7481fb5038106094,c++,java,,,,,,,TRUE,TRUE,TRUE
64c85650fce6132ef66be9f7750cf28674cd65d7,java,c++,,,,,,,TRUE,TRUE,TRUE
182ed8afbe13c1bacbf1cc89908cbaf193ce4d34,c++,java,,,,,,,TRUE,TRUE,TRUE
5e3abd20839d130733fdded5cb95694fe734df75,java,c++,,,,,,,TRUE,TRUE,TRUE
4c77d64b7a934fdd6b2c934a6aeb2c6f27679258,c++,java,,,,,,,TRUE,TRUE,TRUE
c1e64b936526491fdc1836e7b0913f7514cdc378,java,c++,,,,,,,TRUE,TRUE,TRUE
3e48a0c1a22286405faca7c7892b750bff42d0f0,yaml,c++,groovy,,,,,,TRUE,FALSE,FALSE
97637f49458c8a46a5dac80b7bbdd43f4d9e7435,c++,java,,,,,,,TRUE,TRUE,TRUE
f8c8d4bd58fded63f90134ac5a44d2c83e9751bd,c++,groovy,,,,,,,TRUE,FALSE,FALSE
80469b4a9eae1f51d1c7af42963c452eb2d35fcd,c++,java,,,,,,,TRUE,TRUE,TRUE
de5225d1ebe7b3a5f3565539685fcd95348ae815,java,c++,,,,,,,TRUE,TRUE,TRUE
50f71ab4610b37bb9bcbdd5d937d533b65b148ef,c++,java,,,,,,,TRUE,TRUE,TRUE
7f0c43c991602132641296018ff9f0c242260a6e,c++,java,,,,,,,TRUE,TRUE,TRUE
af5041165ae44554224f32959df8a42d10726669,c++,java,,,,,,,TRUE,TRUE,TRUE
3e46e4ee56c8e37158f46941dedd5b436d724baa,java,c++,,,,,,,TRUE,TRUE,TRUE
