From File,To File,References,From Entities,To Entities
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/app/LegacyApplication.java,4,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/app/SimpleApplication.java,4,3,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/material/Material.java,9,4,3
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Geometry.java,9,4,3
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Node.java,2,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/shape/Box.java,7,4,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidResources.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Spatial.java,2,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/app/LegacyApplication.java,11,1,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/app/SimpleApplication.java,8,3,3
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/controls/ActionListener.java,2,2,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/controls/AnalogListener.java,2,2,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/controls/MouseButtonTrigger.java,3,2,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/FlyByCamera.java,2,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/InputManager.java,6,1,3
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/Joystick.java,17,11,6
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/JoystickAxis.java,12,7,5
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/MouseInput.java,2,2,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/input/SensorJoystickAxis.java,16,4,6
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/material/Material.java,21,6,5
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/material/RenderState.java,3,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/math/ColorRGBA.java,5,2,5
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/math/FastMath.java,7,4,4
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/math/Quaternion.java,7,5,5
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/math/Vector3f.java,17,2,7
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Geometry.java,17,6,3
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Mesh.java,4,4,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/Node.java,4,1,1
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/shape/Box.java,4,3,2
/home/mmm/Projects/jmonkeyengine/jme3-android-examples/src/main/java/jme3test/android/TestAndroidSensors.java,/home/mmm/Projects/jmonkeyengine/jme3-core/src/main/java/com/jme3/scene/shape/Line.java,7,2,2
