,,,,,,,,,,,cJava
69ef8efccea0189398dcc8ca14b9944500bcc729,yaml,java,,,,,,,FALSE,TRUE,FALSE
128e079a22413f63b430ffe4ad2ec7ebe7f50f3c,yaml,java,groovy,,,,,,FALSE,TRUE,FALSE
862540833bf516d59bcce4472a3fde778e817d6a,java,c++,,,,,,,TRUE,TRUE,TRUE
31835366b2f3e833f34f701f00c780571ded78bf,c++,java,,,,,,,TRUE,TRUE,TRUE
c906508e623be6ff9dc97f1f1f192a1c0d01707a,java,c++,,,,,,,TRUE,TRUE,TRUE
9e53abbb7ac71afbccd9f58ec9a964cf84bd16f5,java,html,c/c++,,,,,,TRUE,TRUE,TRUE
7057e9cb183055955cda322d09198e0a53d6616e,c,java,,,,,,,TRUE,TRUE,TRUE
2ca55c8b3a37ec806e4512d8aecf43dbb156ccd2,java,groovy,,,,,,,FALSE,TRUE,FALSE
8f77dca9314e4b2090acc4d30e80df50547cff1a,groovy,java,,,,,,,FALSE,TRUE,FALSE
bbcb8c570189ba69045e7718817e9be3e8d19856,groovy,java,,,,,,,FALSE,TRUE,FALSE
663c9776e8b65f95beaf8db1e39f0ac244816fe2,groovy,java,,,,,,,FALSE,TRUE,FALSE
59d41c865b19adecf228012caeeda9eaac9d9a33,groovy,java,,,,,,,FALSE,TRUE,FALSE
17887b1fb0c1478808a6aee5dc441cb59d1b5975,groovy,java,,,,,,,FALSE,TRUE,FALSE
393009ec2d02663644721d4cd07ed183b0c76911,groovy,c/c++,,,,,,,TRUE,FALSE,FALSE
88e9c8482c82fc7ec5a44896709b2641ab9fc620,groovy,java,c/c++,,,,,,TRUE,TRUE,TRUE
816ab99ac5490177011103f20474f6f84a01abc7,yaml,groovy,java,,,,,,FALSE,TRUE,FALSE
5db3ac4faccb942c86822237ec75a9bd380bf6ad,java,groovy,,,,,,,FALSE,TRUE,FALSE
bea1601994da22504c669f099cdc17367c45ac77,groovy,java,,,,,,,FALSE,TRUE,FALSE
b7ab6d003eda60d7d3379958b7029971bdd57d84,groovy,java,,,,,,,FALSE,TRUE,FALSE
c04e162c2c08e053413ccd07b15fafcaa3aba97d,groovy,QT,java,,,,,,FALSE,TRUE,FALSE
8c080102337ecde8af7f29db454167d87a6ae089,groovy,java,,,,,,,FALSE,TRUE,FALSE
34df2ebabfb818216a787083657973ac88cc04db,groovy,c/c++,,,,,,,TRUE,FALSE,FALSE
976d45a2309784820f295b699c9089bdbbf5d314,groovy,java,,,,,,,FALSE,TRUE,FALSE
570e4850eae5886df64b895c7680939fbe64d69b,yaml,groovy,c/c++,,,,,,TRUE,FALSE,FALSE
5d2cee01878e159caf2597212ab881533e4cc720,groovy,java,,,,,,,FALSE,TRUE,FALSE
e3497dcf508f336530d167927a2662a3a64fb89d,groovy,java,,,,,,,FALSE,TRUE,FALSE
1bde90d1a1620a927e7ca0df6a70b040b893d549,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
afa9bcde7ce060d11f31372c113d4d297147c69a,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
88385ba6471ccbda89458c7c4a0e535ccada4d54,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
ba340cf13aab080d6087dba653977a244247a305,java,groovy,,,,,,,FALSE,TRUE,FALSE
80900a8d6461909ee7f7a812b79d739d0faea0ac,java,html,,,,,,,FALSE,TRUE,FALSE
17d7134e2d94123089a0047e15f7caa8ccdee051,yaml,c++,,,,,,,TRUE,FALSE,FALSE
90d3b69bd10c03d77b32e1877b6da478d4000b43,yaml,groovy,c,,,,,,TRUE,FALSE,FALSE
f19ad06820d979f373643079469e190d1dee7766,java,groovy,,,,,,,FALSE,TRUE,FALSE
ad2ba95e993d3ad16f95c189e25c1b2c54763826,yaml,groovy,java,,,,,,FALSE,TRUE,FALSE
