99.69333333333333,0.0,99.69333333333333.1,10.492417235690835,0.0.1,300,0.0.2,0,False
68.77333333333333,0.0,68.77333333333333,11.055249379388053,0.0,300,0.0,1,False
50.0,0.0,50.0,0.0,0.0,1,0.0,3,False
11.0,4.0,15.0,0.0,0.0,1,1.0,4,False
1.0,1.0,2.0,0.0,0.0,1,1.0,5,False
10.0,7.0,17.0,0.0,0.0,1,1.0,6,False
16.0,7.0,23.0,0.0,0.0,1,1.0,7,False
3.0,0.0,3.0,0.0,0.0,1,0.0,0,False
28.875,0.0,28.875,5.2677717926946785,0.0,16,0.0,10,False
3.0,1.0,4.0,0.0,0.0,1,0.0,11,False
8.0,0.0,8.0,0.0,0.0,1,0.0,12,False
21.33333333333333,21.0,42.333333333333336,2.962078658368048,0.6666666666666666,3,0.6666666666666666,1,False
6.0,14.0,20.0,0.0,1.0,1,1.0,16,False
119.4,0.0,119.4,2.7710364441360094,0.0,5,0.0,2,False
75.2,0.0,75.2,2.953460378540945,0.0,5,0.0,3,False
1.6666666666666667,1.6666666666666667,3.333333333333333,1.6552614282206957,0.0,3,0.0,0,False
64.0,6.666666666666668,70.66666666666667,2.3482832151822848,2.0,3,0.6666666666666666,4,False
120.93333333333334,0.0,120.93333333333334,4.19100503742791,0.0,15,0.0,10,False
116.0,0.06666666666666668,116.06666666666666,4.5301218599170685,0.0,15,0.06666666666666668,11,False
129.0,0.0,129.0,0.0,0.0,1,0.0,12,False
39.8,29.4,69.2,2.768006372792164,0.0,5,0.8,14,False
11.0,1.0,12.0,0.0,0.0,1,1.0,15,False
41.333333333333336,0.6666666666666666,42.0,1.7897067811501437,0.0,3,0.6666666666666666,16,False
10.25,5.5,15.75,2.2643426631459023,0.0,4,1.0,17,False
18.0,4.0,22.0,0.0,0.0,1,1.0,21,False
2.6666666666666665,2.6666666666666665,5.333333333333333,1.8050124997596144,0.6666666666666666,3,1.0,22,False
4.0,1.5,5.5,1.1669503682767193,4.0,2,1.0,1,False
11.25,5.0,16.25,2.548663372201468,0.0,4,0.0,2,False
15.333333333333336,2.0,17.333333333333332,3.1651151031923455,0.5,6,0.8333333333333334,24,False
82.5,0.0,82.5,2.2190118398000025,0.0,2,0.5,26,False
10.666666666666666,1.3333333333333333,12.0,1.5956558243857968,1.0,3,1.0,28,False
9.0,12.0,21.0,0.0,1.0,1,1.0,31,False
13.8,5.8,19.6,2.642027452326881,0.4,5,1.0,33,False
20.33333333333333,7.333333333333332,27.66666666666667,1.9121427555888344,0.0,3,1.0,34,False
14.625,5.125,19.75,3.29985881767077,0.0,8,0.0,3,False
14.0,0.3333333333333333,14.333333333333336,1.6738021404712142,0.3333333333333333,3,0.6666666666666666,35,False
10.0,2.5,12.5,1.029446844526784,0.5,2,1.0,37,False
30.0,3.0,33.0,0.0,0.0,1,1.0,38,False
11.0,1.4,12.4,2.488237042742735,1.2,5,1.0,42,False
9.333333333333334,7.333333333333332,16.666666666666668,2.651429548608086,0.0,3,0.0,4,False
