,,,,,,,,,,,cJAva
92929308bdbf320000a558a0b8bc25d74d477bb6,java,html,,,,,,,FALSE,TRUE,FALSE
00d6b1387c198a785e05c0a94dc7cdb4e4df0bb1,java,html,,,,,,,FALSE,TRUE,FALSE
41fa60177d76ee51c222c2a3ec15d945c3809723,java,c/c++,,,,,,,TRUE,TRUE,TRUE
8d350c7d99373ccf130a34a8f6e869f0f7270b9e,java,html,,,,,,,FALSE,TRUE,FALSE
d6289eca9959661b7715e14821f3e64c7fc0d2e2,java,html,,,,,,,FALSE,TRUE,FALSE
0aacf71ea4466b6c7ebca00c57ad0dcf6aad96b4,java,html,,,,,,,FALSE,TRUE,FALSE
6481112fb09e3352a222e65d97e2fb03dbace0c8,java,c,,,,,,,TRUE,TRUE,TRUE
14925461502b5bae2a185f983af6c634118dcc0c,java,c,,,,,,,TRUE,TRUE,TRUE
391f39d2911b5a56ad943816072b2fc9fd30cdca,html,java,,,,,,,FALSE,TRUE,FALSE
73b7763dcb00efd8d12837e4216a37ff9f082c10,c,java,,,,,,,TRUE,TRUE,TRUE
a18e453686fb2f5bbee101367bc40ce40a9f2c49,java,html,c,c++,assembly,,,,TRUE,TRUE,TRUE
16d4db179060a8fa63d54341e3b330e572fb4e1e,java,c,,,,,,,TRUE,TRUE,TRUE
0a752616b7dc12b8552db8713c4171ab88ba7478,c,java,,,,,,,TRUE,TRUE,TRUE
39ce53e6c9a249ce998e9541230819d662dae084,c,java,html,,,,,,TRUE,TRUE,TRUE
f8aabcc50a9f9941de481bd40f673f204ca75203,java,c,assembly,html,,,,,TRUE,TRUE,TRUE
2841c3aaf1132c2cae5a81dec6f7278ac2db8852,c,java,html,,,,,,TRUE,TRUE,TRUE
b7a299f42ac587dee986e0f132557226585da3a3,c,java,,,,,,,TRUE,TRUE,TRUE
88ad275b4410b7ace45a1f4302b519aea01d1679,c,java,html,,,,,,TRUE,TRUE,TRUE
fc7b53e80948ae285f50546bffb275dd1b38ea93,java,html,,,,,,,FALSE,TRUE,FALSE
9dd2d6c18cc3e0aaa9936401be8cc72864729078,java,c,assembly,c++,html,,,,TRUE,TRUE,TRUE
6448c2d8fbbb03af30dac3ffdb17197587b04f59,c,java,html,,,,,,TRUE,TRUE,TRUE
7e2f27fe42ebdd9966e212643c85207fa01b4b36,c,assembly,java,,,,,,TRUE,TRUE,TRUE
87606ccdcc6395848704aa4ad2363d2a987ed586,c,java,,,,,,,TRUE,TRUE,TRUE
425ea821d7cfad55534b1e39beb2d7db973c93d8,java,html,,,,,,,FALSE,TRUE,FALSE
13bc1901dc38c961c8305fd33202b9df3762e78e,c,html,java,,,,,,TRUE,TRUE,TRUE
8d3b41ea4dec901b4bf976ce99ff542d78831cb2,c,java,html,,,,,,TRUE,TRUE,TRUE
f7d1a91aad3cb62b3e08addbcbacacd85908d150,java,html,,,,,,,FALSE,TRUE,FALSE
50eb820c129d298c26035f98e6a93aed9fc52257,java,c,,,,,,,TRUE,TRUE,TRUE
79272c76a5c3da6f0eec45d5fd4a2d4f71834ea6,c,java,,,,,,,TRUE,TRUE,TRUE
1737d6addb952447b3b6ac933f420c09187c3e8b,java,c,,,,,,,TRUE,TRUE,TRUE
66241d1dcbe268ebf09212b9e72b711bd67abdeb,java,c,,,,,,,TRUE,TRUE,TRUE
d1f179a1704d3be3ed288ae1be94e826d48b3044,c,java,,,,,,,TRUE,TRUE,TRUE
9f1da1b562cb46fca2dd0a65e89806964dc61bca,assembly,c,c++,,,,,,TRUE,FALSE,FALSE
a2faba385af49fc298b356514277a8941be1229a,c,java,,,,,,,TRUE,TRUE,TRUE
c7e7798979bf9737428f6b82d1ab9f323757195e,c,java,,,,,,,TRUE,TRUE,TRUE
9b56f7a1e8a7543635b6d63ab8c5809c9663a5b1,c,java,,,,,,,TRUE,TRUE,TRUE
96d017869a1c8c610aab6b54aeb8144ec4eea69a,java,c,,,,,,,TRUE,TRUE,TRUE
ac272df5d30458213e14053aa1ec1975e245a345,c,java,,,,,,,TRUE,TRUE,TRUE
50fe79d660e1991adcf31fffd1fd59e5202d62e0,c,java,,,,,,,TRUE,TRUE,TRUE
d7ed79ea07c54a6d907fc4c78d078784670caea7,java,html,,,,,,,FALSE,TRUE,FALSE
41eb294ce62a242c58e6144a1ee116dbf6de5e06,java,html,,,,,,,FALSE,TRUE,FALSE
