From File,To File,References,From Entities,To Entities
/home/mmm/Projects/jna/ant-tools-src/com/sun/jna/BuildArmSoftFloatDetector.java,/home/mmm/Projects/jna/src/com/sun/jna/ELFAnalyser.java,3,2,3
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/unix/X11.java,25,8,18
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/GDI32.java,9,3,7
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/User32.java,9,3,7
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/WinDef.java,20,10,8
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/WinGDI.java,19,3,12
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/WinNT.java,3,3,2
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/win32/WinUser.java,23,5,12
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/contrib/platform/src/com/sun/jna/platform/WindowUtils.java,4,4,3
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/Memory.java,4,2,3
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/Native.java,4,3,3
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/NativeLong.java,3,2,2
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/Pointer.java,3,3,2
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/PointerType.java,1,1,1
/home/mmm/Projects/jna/contrib/alphamaskdemo/com/sun/jna/contrib/demo/AlphaMaskDemo.java,/home/mmm/Projects/jna/src/com/sun/jna/ptr/PointerByReference.java,5,3,3
