From File,To File
AndroidApplication.java,AndroidApplicationBase.java
AndroidApplication.java,AndroidApplicationConfiguration.java
AndroidApplication.java,AndroidApplicationLogger.java
AndroidApplication.java,AndroidAudio.java
AndroidApplication.java,AndroidClipboard.java
AndroidApplication.java,AndroidEventListener.java
AndroidApplication.java,AndroidFiles.java
AndroidApplication.java,AndroidGraphics.java
AndroidApplication.java,AndroidInput.java
AndroidApplication.java,AndroidNet.java
AndroidApplication.java,AndroidPreferences.java
AndroidApplication.java,AndroidVisibilityListener.java
AndroidApplication.java,DefaultAndroidAudio.java
AndroidApplication.java,DefaultAndroidInput.java
AndroidApplication.java,FillResolutionStrategy.java
AndroidApplication.java,Application.java
AndroidApplication.java,ApplicationListener.java
AndroidApplication.java,ApplicationLogger.java
AndroidApplication.java,Audio.java
AndroidApplication.java,Files.java
AndroidApplication.java,Gdx.java
AndroidApplication.java,Graphics.java
AndroidApplication.java,LifecycleListener.java
AndroidApplication.java,Net.java
AndroidApplication.java,Preferences.java
AndroidApplication.java,Array.java
AndroidApplication.java,Clipboard.java
AndroidApplication.java,Disposable.java
AndroidApplication.java,GdxNativesLoader.java
AndroidApplication.java,GdxRuntimeException.java
AndroidApplication.java,SnapshotArray.java
AndroidApplicationBase.java,AndroidApplicationConfiguration.java
AndroidApplicationBase.java,AndroidAudio.java
AndroidApplicationBase.java,AndroidInput.java
AndroidApplicationBase.java,Application.java
AndroidApplicationBase.java,ApplicationListener.java
AndroidApplicationBase.java,Audio.java
AndroidApplicationBase.java,Input.java
AndroidApplicationBase.java,LifecycleListener.java
AndroidApplicationBase.java,Array.java
AndroidApplicationBase.java,SnapshotArray.java
AndroidApplicationConfiguration.java,FillResolutionStrategy.java
AndroidApplicationConfiguration.java,ResolutionStrategy.java
AndroidApplicationConfiguration.java,Sound.java
AndroidApplicationConfiguration.java,Input.java
AndroidApplicationLogger.java,ApplicationLogger.java
AndroidAudio.java,AndroidMusic.java
AndroidAudio.java,Audio.java
AndroidAudio.java,Disposable.java
AndroidAudioDevice.java,AudioDevice.java
AndroidAudioRecorder.java,AudioRecorder.java
AndroidAudioRecorder.java,GdxRuntimeException.java
AndroidClipboard.java,Clipboard.java
AndroidDaydream.java,AndroidApplicationBase.java
AndroidDaydream.java,AndroidApplicationConfiguration.java
AndroidDaydream.java,AndroidApplicationLogger.java
AndroidDaydream.java,AndroidAudio.java
AndroidDaydream.java,AndroidClipboard.java
AndroidDaydream.java,AndroidFiles.java
AndroidDaydream.java,AndroidGraphics.java
AndroidDaydream.java,AndroidInput.java
AndroidDaydream.java,AndroidNet.java
AndroidDaydream.java,AndroidPreferences.java
AndroidDaydream.java,DefaultAndroidAudio.java
AndroidDaydream.java,DefaultAndroidInput.java
AndroidDaydream.java,FillResolutionStrategy.java
AndroidDaydream.java,Application.java
AndroidDaydream.java,ApplicationListener.java
AndroidDaydream.java,ApplicationLogger.java
AndroidDaydream.java,Audio.java
AndroidDaydream.java,Files.java
AndroidDaydream.java,Gdx.java
AndroidDaydream.java,Graphics.java
AndroidDaydream.java,LifecycleListener.java
AndroidDaydream.java,Net.java
AndroidDaydream.java,Preferences.java
AndroidDaydream.java,Array.java
AndroidDaydream.java,Clipboard.java
AndroidDaydream.java,Disposable.java
AndroidDaydream.java,GdxNativesLoader.java
AndroidDaydream.java,SnapshotArray.java
AndroidFileHandle.java,FileHandle.java
AndroidFileHandle.java,File.java
AndroidFileHandle.java,FileFilter.java
AndroidFileHandle.java,FilenameFilter.java
AndroidFileHandle.java,ByteBuffer.java
AndroidFileHandle.java,ByteOrder.java
AndroidFileHandle.java,FileChannel.java
AndroidFileHandle.java,Files.java
AndroidFileHandle.java,Gdx.java
AndroidFileHandle.java,GdxRuntimeException.java
AndroidFileHandle.java,StreamUtils.java
AndroidFiles.java,AndroidFileHandle.java
AndroidFiles.java,AndroidZipFileHandle.java
AndroidFiles.java,APKExpansionSupport.java
AndroidFiles.java,ZipResourceFile.java
AndroidFiles.java,FileHandle.java
AndroidFiles.java,Files.java
AndroidFiles.java,Gdx.java
AndroidFiles.java,GdxRuntimeException.java
AndroidFragmentApplication.java,AndroidApplicationBase.java
AndroidFragmentApplication.java,AndroidApplicationConfiguration.java
AndroidFragmentApplication.java,AndroidApplicationLogger.java
AndroidFragmentApplication.java,AndroidAudio.java
AndroidFragmentApplication.java,AndroidClipboard.java
AndroidFragmentApplication.java,AndroidEventListener.java
AndroidFragmentApplication.java,AndroidFiles.java
AndroidFragmentApplication.java,AndroidGraphics.java
AndroidFragmentApplication.java,AndroidInput.java
AndroidFragmentApplication.java,AndroidNet.java
AndroidFragmentApplication.java,AndroidPreferences.java
AndroidFragmentApplication.java,AndroidVisibilityListener.java
AndroidFragmentApplication.java,DefaultAndroidAudio.java
AndroidFragmentApplication.java,DefaultAndroidInput.java
AndroidFragmentApplication.java,FillResolutionStrategy.java
AndroidFragmentApplication.java,Application.java
AndroidFragmentApplication.java,ApplicationListener.java
AndroidFragmentApplication.java,ApplicationLogger.java
AndroidFragmentApplication.java,Audio.java
AndroidFragmentApplication.java,Files.java
AndroidFragmentApplication.java,Gdx.java
AndroidFragmentApplication.java,Graphics.java
AndroidFragmentApplication.java,LifecycleListener.java
AndroidFragmentApplication.java,Net.java
AndroidFragmentApplication.java,Preferences.java
AndroidFragmentApplication.java,Array.java
AndroidFragmentApplication.java,Clipboard.java
AndroidFragmentApplication.java,Disposable.java
AndroidFragmentApplication.java,GdxNativesLoader.java
AndroidFragmentApplication.java,GdxRuntimeException.java
AndroidFragmentApplication.java,SnapshotArray.java
AndroidGL20.java,Buffer.java
AndroidGL20.java,FloatBuffer.java
AndroidGL20.java,IntBuffer.java
AndroidGL20.java,GL20.java
AndroidGL30.java,AndroidGL20.java
AndroidGL30.java,Buffer.java
AndroidGL30.java,FloatBuffer.java
AndroidGL30.java,IntBuffer.java
AndroidGL30.java,LongBuffer.java
AndroidGL30.java,GL30.java
AndroidGraphics.java,AndroidApplicationBase.java
AndroidGraphics.java,AndroidApplicationConfiguration.java
AndroidGraphics.java,AndroidGL20.java
AndroidGraphics.java,AndroidGL30.java
AndroidGraphics.java,AndroidInput.java
AndroidGraphics.java,GdxEglConfigChooser.java
AndroidGraphics.java,GLSurfaceView20.java
AndroidGraphics.java,ResolutionStrategy.java
AndroidGraphics.java,Pixmap.java
AndroidGraphics.java,InterruptedException.java
AndroidGraphics.java,Application.java
AndroidGraphics.java,ApplicationListener.java
AndroidGraphics.java,Gdx.java
AndroidGraphics.java,Graphics.java
AndroidGraphics.java,Cubemap.java
AndroidGraphics.java,Cursor.java
AndroidGraphics.java,GL20.java
AndroidGraphics.java,GL30.java
AndroidGraphics.java,FrameBuffer.java
AndroidGraphics.java,GLFrameBuffer.java
AndroidGraphics.java,GLVersion.java
AndroidGraphics.java,ShaderProgram.java
AndroidGraphics.java,Mesh.java
AndroidGraphics.java,Texture.java
AndroidGraphics.java,TextureArray.java
AndroidGraphics.java,LifecycleListener.java
AndroidGraphics.java,WindowedMean.java
AndroidGraphics.java,Array.java
AndroidGraphics.java,GdxRuntimeException.java
AndroidGraphics.java,SnapshotArray.java
AndroidGraphicsLiveWallpaper.java,AndroidApplicationBase.java
AndroidGraphicsLiveWallpaper.java,AndroidApplicationConfiguration.java
AndroidGraphicsLiveWallpaper.java,AndroidGraphics.java
AndroidGraphicsLiveWallpaper.java,AndroidInput.java
AndroidGraphicsLiveWallpaper.java,AndroidLiveWallpaper.java
AndroidGraphicsLiveWallpaper.java,AndroidLiveWallpaperService.java
AndroidGraphicsLiveWallpaper.java,GLSurfaceView20.java
AndroidGraphicsLiveWallpaper.java,ResolutionStrategy.java
AndroidGraphicsLiveWallpaper.java,InterruptedException.java
AndroidGraphicsLiveWallpaper.java,Application.java
AndroidGraphicsLiveWallpaper.java,ApplicationListener.java
AndroidGraphicsLiveWallpaper.java,Gdx.java
AndroidGraphicsLiveWallpaper.java,WindowedMean.java
AndroidGraphicsLiveWallpaper.java,Array.java
AndroidGraphicsLiveWallpaper.java,GdxRuntimeException.java
AndroidInput.java,Input.java
AndroidLiveWallpaper.java,AndroidApplicationBase.java
AndroidLiveWallpaper.java,AndroidApplicationConfiguration.java
AndroidLiveWallpaper.java,AndroidApplicationLogger.java
AndroidLiveWallpaper.java,AndroidAudio.java
AndroidLiveWallpaper.java,AndroidClipboard.java
AndroidLiveWallpaper.java,AndroidFiles.java
AndroidLiveWallpaper.java,AndroidGraphics.java
AndroidLiveWallpaper.java,AndroidGraphicsLiveWallpaper.java
AndroidLiveWallpaper.java,AndroidInput.java
AndroidLiveWallpaper.java,AndroidLiveWallpaperService.java
AndroidLiveWallpaper.java,AndroidNet.java
AndroidLiveWallpaper.java,AndroidPreferences.java
AndroidLiveWallpaper.java,DefaultAndroidAudio.java
AndroidLiveWallpaper.java,DefaultAndroidInput.java
AndroidLiveWallpaper.java,FillResolutionStrategy.java
AndroidLiveWallpaper.java,Application.java
AndroidLiveWallpaper.java,ApplicationListener.java
AndroidLiveWallpaper.java,ApplicationLogger.java
AndroidLiveWallpaper.java,Audio.java
AndroidLiveWallpaper.java,Files.java
AndroidLiveWallpaper.java,Gdx.java
AndroidLiveWallpaper.java,Graphics.java
AndroidLiveWallpaper.java,LifecycleListener.java
AndroidLiveWallpaper.java,Net.java
AndroidLiveWallpaper.java,Preferences.java
AndroidLiveWallpaper.java,Array.java
AndroidLiveWallpaper.java,Clipboard.java
AndroidLiveWallpaper.java,Disposable.java
AndroidLiveWallpaper.java,GdxNativesLoader.java
AndroidLiveWallpaper.java,GdxRuntimeException.java
AndroidLiveWallpaper.java,SnapshotArray.java
AndroidLiveWallpaperService.java,AndroidApplicationConfiguration.java
AndroidLiveWallpaperService.java,AndroidGraphics.java
AndroidLiveWallpaperService.java,AndroidLiveWallpaper.java
AndroidLiveWallpaperService.java,AndroidWallpaperListener.java
AndroidLiveWallpaperService.java,Application.java
AndroidLiveWallpaperService.java,ApplicationListener.java
AndroidLiveWallpaperService.java,Gdx.java
AndroidLiveWallpaperService.java,Graphics.java
AndroidLiveWallpaperService.java,GdxNativesLoader.java
AndroidMouseHandler.java,DefaultAndroidInput.java
AndroidMouseHandler.java,Application.java
AndroidMouseHandler.java,Gdx.java
AndroidMouseHandler.java,Graphics.java
AndroidMouseHandler.java,Pool.java
AndroidMusic.java,AndroidAudio.java
AndroidMusic.java,Application.java
AndroidMusic.java,Music.java
AndroidMusic.java,Gdx.java
AndroidNet.java,AndroidApplicationBase.java
AndroidNet.java,AndroidApplicationConfiguration.java
AndroidNet.java,Net.java
AndroidNet.java,NetJavaImpl.java
AndroidNet.java,NetJavaServerSocketImpl.java
AndroidNet.java,NetJavaSocketImpl.java
AndroidNet.java,ServerSocket.java
AndroidNet.java,ServerSocketHints.java
AndroidNet.java,Socket.java
AndroidNet.java,SocketHints.java
AndroidNet.java,GdxRuntimeException.java
AndroidOnscreenKeyboard.java,AndroidInput.java
AndroidOnscreenKeyboard.java,Input.java
AndroidPreferences.java,Preferences.java
AndroidSound.java,Sound.java
AndroidSound.java,IntArray.java
AndroidTouchHandler.java,DefaultAndroidInput.java
AndroidTouchHandler.java,Application.java
AndroidTouchHandler.java,Gdx.java
AndroidTouchHandler.java,Graphics.java
AndroidTouchHandler.java,Input.java
AndroidTouchHandler.java,Pool.java
AndroidVisibilityListener.java,AndroidApplicationBase.java
AndroidVisibilityListener.java,Application.java
AndroidWallpaperListener.java,ApplicationListener.java
AndroidZipFileHandle.java,AndroidFileHandle.java
AndroidZipFileHandle.java,AndroidFiles.java
AndroidZipFileHandle.java,ZipResourceFile.java
AndroidZipFileHandle.java,FileHandle.java
AndroidZipFileHandle.java,File.java
AndroidZipFileHandle.java,FileFilter.java
AndroidZipFileHandle.java,FilenameFilter.java
AndroidZipFileHandle.java,Files.java
AndroidZipFileHandle.java,Gdx.java
AndroidZipFileHandle.java,GdxRuntimeException.java
APKExpansionSupport.java,ZipResourceFile.java
APKExpansionSupport.java,File.java
DefaultAndroidAudio.java,AndroidApplicationConfiguration.java
DefaultAndroidAudio.java,AndroidAudio.java
DefaultAndroidAudio.java,AndroidAudioDevice.java
