From File,To File,References,From Entities,To Entities
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ActionSheetIOS/ActionSheetIOS.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ActionSheetIOS/NativeActionSheetManager.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Alert/Alert.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/NativeModules/specs/NativeDialogManagerAndroid.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Alert/RCTAlertManager.android.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/NativeModules/specs/NativeDialogManagerAndroid.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Alert/RCTAlertManager.ios.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Alert/NativeAlertManager.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Animated/examples/demo.html,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Animated/examples/style.css,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Animated/src/NativeAnimatedHelper.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/EventEmitter/NativeEventEmitter.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/AppState/AppState.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/AppState/NativeAppState.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTGroup.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTContainer.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTGroup.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTNode.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTCGFloatArray.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTNode.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTShape.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTSurfaceView.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTContainer.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTText.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTText.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTTextFrame.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTLinearGradient.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTLinearGradient.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTPattern.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTPattern.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTRadialGradient.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTRadialGradient.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTSolidColor.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTSolidColor.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTCGFloatArray.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTTextFrame.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/Brushes/ARTBrush.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTGroupManager.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTNodeManager.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTGroupManager.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTRenderableManager.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ARTRenderable.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTRenderableManager.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTNodeManager.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTRenderableManager.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTShapeManager.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTRenderableManager.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTShapeManager.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTTextManager.h,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTRenderableManager.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/ViewManagers/ARTTextManager.m,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/ART/RCTConvert+ART.h,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/FileReader.js,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/NativeFileReaderModule.js,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/RCTBlobCollector.h,/home/mmm/Desktop/Dependencies-Understand/react-native/ReactCommon/jsi/jsi/jsi.cpp,1,1,1
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/RCTBlobCollector.h,/home/mmm/Desktop/Dependencies-Understand/react-native/ReactCommon/jsi/jsi/jsi.h,2,2,2
/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/RCTBlobCollector.mm,/home/mmm/Desktop/Dependencies-Understand/react-native/Libraries/Blob/RCTBlobCollector.h,4,3,3
