,,,,,,,,,,,JavaC
fdf882ded218344c136c97daf76dfb59e4bc155f,yaml,c++,,,,,,,TRUE,FALSE,FALSE
e8263dbdaad0546c54bddd01a8454c2e750a86c2,c++,java,,,,,,,TRUE,TRUE,TRUE
402da454cbe383f5fcca7d109f23949947f59780,yaml,c++,,,,,,,TRUE,FALSE,FALSE
35a25a3fb9b5a61a389e853f8be37932487edd03,yaml,c++,,,,,,,TRUE,FALSE,FALSE
cbd825deea1ab6ce033110a25b234f84203e1e2d,c++,java,,,,,,,TRUE,TRUE,TRUE
5c19a441c42fe516e3b9685a7d9b30d2a9234065,c++,python,,,,,,,TRUE,FALSE,FALSE
7bee48bdbd8582c84dba8ce8e7273c9b9b367d7c,yaml,c++,,,,,,,TRUE,FALSE,FALSE
cef6f84393f691b618b837d41df62c58542f81fe,python,c++,,,,,,,TRUE,FALSE,FALSE
f67e15e50f392625b4097caf22e8be1b0fe96013,c++,html,,,,,,,TRUE,FALSE,FALSE
f4b72d70567003583e19a8bd7a98a5770299ac52,c++,php,,,,,,,TRUE,FALSE,FALSE
7981a43274ab65b0f53eeebb89eb2024209c2d11,c++,python,,,,,,,TRUE,FALSE,FALSE
ffdf6eee19da1a492ad44e16eb329072837bd5c5,c++,java,,,,,,,TRUE,TRUE,TRUE
4cbc19d2a1da1a44775f27c2d167a0d8da0fd9f5,c++,java,,,,,,,TRUE,TRUE,TRUE
e619a20e932bc382a2d2c03d14718d258f9cd46b,c++,python,,,,,,,TRUE,FALSE,FALSE
3be9b364539d382ce282cad80b5c05c58fd2d8a7,c++,c,,,,,,,TRUE,FALSE,FALSE
4cc37f59e5bae1ebacd2c9b7dc4a8c635bb8d99a,c++,python,,,,,,,TRUE,FALSE,FALSE
88c3ee2d312a037a129fcb1240f6e4fe386998f7,python,c++,,,,,,,TRUE,FALSE,FALSE
79c838eb0fef7c1a0b0272140bc1ad8213c09426,c++,python,,,,,,,TRUE,FALSE,FALSE
